,worker_id,group,flesch_coded,org,trust_binary
64,25111984,A,1,The Wall Street Journal,Agree
151,25111984,B,1,CNN,Neutral
152,25111984,B,1,Fox News,Neutral
176,25501853,B,-1,The New York Times,Agree
175,25501853,B,-1,The Wall Street Journal,Neutral
177,25501853,B,-1,The Wall Street Journal,Agree
178,25501853,B,1,the Associated Press,Agree
98,25955589,A,1,CNN,Neutral
99,25955589,A,1,Fox News,Neutral
96,25955589,A,-1,The New York Times,Neutral
97,25955589,A,-1,The New York Times,Neutral
65,25955589,B,-1,The Wall Street Journal,Agree
67,25955589,B,1,The Wall Street Journal,Neutral
124,27770607,A,1,Fox News,Agree
120,27770607,A,-1,The New York Times,Agree
121,27770607,A,-1,The Wall Street Journal,Agree
122,27770607,A,-1,The Wall Street Journal,Agree
319,27770607,B,1,Fox News,Agree
315,27770607,B,-1,The New York Times,Agree
317,27770607,B,-1,The New York Times,Neutral
51,27914150,A,1,Fox News,Disagree
54,27914150,A,-1,The New York Times,Neutral
50,27914150,A,-1,The Wall Street Journal,Agree
247,27914150,B,1,CNN,Neutral
248,27914150,B,1,Fox News,Neutral
249,27914150,B,1,The New York Times,Neutral
246,27914150,B,-1,The Wall Street Journal,Neutral
8,28081782,A,1,CNN,Disagree
5,28081782,A,-1,The New York Times,Disagree
9,28081782,A,-1,The New York Times,Neutral
70,28081782,B,-1,The Wall Street Journal,Agree
72,28081782,B,1,The Wall Street Journal,Disagree
46,29571331,A,1,Fox News,Agree
49,29571331,A,-1,The New York Times,Neutral
45,29571331,A,-1,The Wall Street Journal,Agree
242,29571331,B,1,CNN,Agree
243,29571331,B,1,Fox News,Agree
244,29571331,B,1,The New York Times,Neutral
241,29571331,B,-1,The Wall Street Journal,Agree
233,29936162,A,1,CNN,Agree
230,29936162,A,-1,The New York Times,Agree
231,29936162,A,-1,The New York Times,Agree
234,29936162,A,1,The New York Times,Agree
232,29936162,A,-1,The Wall Street Journal,Agree
299,29936162,B,1,CNN,Agree
296,29936162,B,1,the Associated Press,Agree
327,30285892,A,1,Fox News,Agree
325,30285892,A,-1,The New York Times,Neutral
326,30285892,A,-1,The New York Times,Agree
306,30461260,A,1,CNN,Neutral
308,30461260,A,1,CNN,Disagree
305,30461260,A,-1,The New York Times,Agree
88,30461260,B,1,CNN,Neutral
89,30461260,B,1,CNN,Neutral
85,30461260,B,-1,The Wall Street Journal,Neutral
250,30513549,A,1,CNN,Agree
253,30513549,A,1,Fox News,Agree
254,30513549,A,1,The New York Times,Agree
251,30513549,A,-1,The Wall Street Journal,Agree
161,30513549,B,1,CNN,Agree
162,30513549,B,1,Fox News,Agree
202,31063905,A,1,CNN,Agree
200,31063905,A,-1,The New York Times,Agree
204,31063905,A,-1,The New York Times,Agree
148,31063905,B,1,CNN,Agree
145,31063905,B,-1,The New York Times,Agree
147,31063905,B,-1,The New York Times,Agree
149,31063905,B,-1,The New York Times,Neutral
147,31906954,A,1,CNN,Agree
145,31906954,A,-1,The New York Times,Neutral
148,31906954,A,-1,The New York Times,Agree
149,31906954,A,-1,The New York Times,Agree
353,31906954,B,1,Fox News,Agree
354,31906954,B,-1,The New York Times,Neutral
41,32055577,B,1,CNN,Agree
42,32055577,B,1,CNN,Agree
44,32055577,B,1,The New York Times,Agree
13,32424428,A,1,CNN,Neutral
10,32424428,A,-1,The New York Times,Agree
14,32424428,A,-1,The New York Times,Neutral
181,32424428,B,1,CNN,Neutral
182,32424428,B,1,CNN,Neutral
183,32424428,B,-1,The New York Times,Neutral
109,32641084,A,1,CNN,Agree
106,32641084,A,-1,The New York Times,Agree
107,32641084,A,-1,The New York Times,Neutral
105,32641084,A,-1,The Wall Street Journal,Disagree
29,32641084,B,1,CNN,Disagree
26,32641084,B,1,Fox News,Neutral
28,32641084,B,-1,The New York Times,Neutral
78,32672123,A,1,CNN,Neutral
79,32672123,A,1,CNN,Neutral
76,32672123,A,-1,The Wall Street Journal,Agree
232,32672123,B,1,CNN,Agree
230,32672123,B,1,The New York Times,Neutral
231,32672123,B,-1,The New York Times,Agree
234,32672123,B,-1,The New York Times,Agree
233,32672123,B,-1,The Wall Street Journal,Agree
156,32916723,A,1,CNN,Neutral
155,32916723,A,1,Fox News,Neutral
266,32916723,B,1,CNN,Agree
265,32916723,B,-1,The New York Times,Agree
267,32916723,B,1,the Associated Press,Neutral
211,33245009,A,-1,CNN,Neutral
214,33245009,A,1,CNN,Agree
210,33245009,A,-1,The New York Times,Neutral
212,33245009,A,-1,The Wall Street Journal,Agree
348,33245009,B,1,Fox News,Neutral
349,33245009,B,-1,The New York Times,Neutral
93,33280016,A,1,CNN,Neutral
94,33280016,A,1,Fox News,Agree
91,33280016,A,-1,The New York Times,Disagree
92,33280016,A,-1,The New York Times,Neutral
109,33280016,B,1,CNN,Agree
105,33280016,B,-1,The New York Times,Neutral
107,33280016,B,-1,The New York Times,Agree
106,33280016,B,-1,The Wall Street Journal,Disagree
221,33345368,A,-1,CNN,Neutral
224,33345368,A,1,CNN,Neutral
220,33345368,A,-1,The New York Times,Agree
222,33345368,A,-1,The Wall Street Journal,Neutral
134,33345368,B,1,Fox News,Neutral
131,33345368,B,-1,The New York Times,Neutral
130,33345368,B,-1,The Wall Street Journal,Agree
132,33345368,B,-1,The Wall Street Journal,Agree
256,33427067,B,1,CNN,Neutral
255,33427067,B,-1,The New York Times,Neutral
257,33427067,B,1,the Associated Press,Agree
352,33467170,A,1,Fox News,Agree
353,33467170,A,-1,The New York Times,Agree
220,33467170,B,-1,CNN,Agree
224,33467170,B,1,CNN,Agree
221,33467170,B,-1,The New York Times,Neutral
222,33467170,B,-1,The Wall Street Journal,Neutral
340,33565158,A,-1,CNN,Agree
341,33565158,A,-1,CNN,Agree
342,33565158,A,-1,The New York Times,Agree
344,33565158,A,1,The Wall Street Journal,Agree
238,33591819,A,1,CNN,Agree
235,33591819,A,-1,The New York Times,Agree
236,33591819,A,-1,The New York Times,Neutral
239,33591819,A,1,The New York Times,Agree
237,33591819,A,-1,The Wall Street Journal,Agree
210,33591819,B,-1,CNN,Agree
214,33591819,B,1,CNN,Agree
211,33591819,B,-1,The New York Times,Agree
212,33591819,B,-1,The Wall Street Journal,Agree
180,33935063,A,1,CNN,Neutral
181,33935063,A,1,CNN,Neutral
182,33935063,A,-1,The New York Times,Neutral
347,34098234,A,1,Fox News,Neutral
348,34098234,A,-1,The New York Times,Neutral
215,34098234,B,-1,CNN,Neutral
219,34098234,B,1,CNN,Neutral
216,34098234,B,-1,The New York Times,Neutral
217,34098234,B,-1,The Wall Street Journal,Disagree
240,34178978,A,1,CNN,Agree
243,34178978,A,1,Fox News,Agree
244,34178978,A,1,The New York Times,Agree
241,34178978,A,-1,The Wall Street Journal,Agree
191,34178978,B,1,CNN,Agree
192,34178978,B,1,CNN,Agree
193,34178978,B,-1,The New York Times,Agree
330,34510906,A,-1,CNN,Neutral
331,34510906,A,-1,CNN,Agree
332,34510906,A,-1,The New York Times,Agree
334,34510906,A,1,The Wall Street Journal,Agree
6,34510906,B,1,CNN,Neutral
7,34510906,B,-1,The New York Times,Neutral
9,34510906,B,-1,The New York Times,Neutral
299,34694174,A,1,CNN,Agree
295,34694174,A,1,the Associated Press,Agree
129,34694174,B,1,Fox News,Agree
126,34694174,B,-1,The New York Times,Agree
125,34694174,B,-1,The Wall Street Journal,Agree
127,34694174,B,-1,The Wall Street Journal,Agree
335,34737109,A,-1,CNN,Agree
336,34737109,A,-1,CNN,Agree
337,34737109,A,-1,The New York Times,Neutral
339,34737109,A,1,The Wall Street Journal,Agree
284,34737109,B,1,CNN,Agree
282,34737109,B,1,The New York Times,Agree
289,34898132,A,1,CNN,Neutral
285,34898132,A,1,the Associated Press,Neutral
201,34898132,B,1,CNN,Disagree
203,34898132,B,-1,The New York Times,Disagree
204,34898132,B,-1,The New York Times,Neutral
28,34938843,A,1,CNN,Agree
29,34938843,A,1,Fox News,Agree
25,34938843,A,-1,The New York Times,Agree
358,34938843,B,1,Fox News,Agree
359,34938843,B,-1,The New York Times,Agree
265,35242242,A,1,CNN,Agree
268,35242242,A,-1,The New York Times,Agree
267,35242242,A,1,the Associated Press,Agree
60,35242242,B,-1,The Wall Street Journal,Agree
62,35242242,B,1,The Wall Street Journal,Agree
322,35408915,A,1,Fox News,Agree
320,35408915,A,-1,The New York Times,Agree
321,35408915,A,-1,The New York Times,Disagree
186,35408915,B,1,CNN,Neutral
187,35408915,B,1,CNN,Agree
188,35408915,B,-1,The New York Times,Neutral
190,35701460,A,1,CNN,Neutral
191,35701460,A,1,CNN,Agree
192,35701460,A,-1,The New York Times,Neutral
98,35942389,B,1,CNN,Agree
99,35942389,B,1,Fox News,Agree
95,35942389,B,-1,The New York Times,Agree
96,35942389,B,-1,The New York Times,Agree
23,35959061,A,1,CNN,Agree
24,35959061,A,1,Fox News,Agree
20,35959061,A,-1,The New York Times,Neutral
1,35959061,B,1,CNN,Neutral
2,35959061,B,-1,The New York Times,Agree
4,35959061,B,-1,The New York Times,Agree
142,36187807,A,1,CNN,Neutral
140,36187807,A,-1,The New York Times,Neutral
143,36187807,A,-1,The New York Times,Neutral
144,36187807,A,-1,The New York Times,Neutral
324,36187807,B,1,Fox News,Neutral
320,36187807,B,-1,The New York Times,Neutral
322,36187807,B,-1,The New York Times,Neutral
197,36263705,A,1,CNN,Agree
195,36263705,A,-1,The New York Times,Neutral
199,36263705,A,-1,The New York Times,Disagree
156,36263705,B,1,CNN,Disagree
157,36263705,B,1,Fox News,Disagree
36,36296882,A,1,CNN,Neutral
38,36296882,A,1,CNN,Neutral
37,36296882,A,1,The New York Times,Disagree
301,36296882,B,1,CNN,Disagree
302,36296882,B,1,CNN,Neutral
303,36296882,B,-1,The New York Times,Neutral
294,36304114,A,1,CNN,Agree
290,36304114,A,1,the Associated Press,Agree
124,36304114,B,1,Fox News,Agree
121,36304114,B,-1,The New York Times,Agree
120,36304114,B,-1,The Wall Street Journal,Agree
122,36304114,B,-1,The Wall Street Journal,Agree
171,36304905,B,-1,The New York Times,Agree
170,36304905,B,-1,The Wall Street Journal,Agree
172,36304905,B,-1,The Wall Street Journal,Agree
173,36304905,B,1,the Associated Press,Neutral
168,36313064,A,-1,The New York Times,Neutral
165,36313064,A,-1,The Wall Street Journal,Disagree
169,36313064,A,-1,The Wall Street Journal,Disagree
167,36313064,A,1,the Associated Press,Agree
335,36313064,B,-1,CNN,Agree
338,36313064,B,-1,CNN,Neutral
336,36313064,B,-1,The New York Times,Agree
337,36313064,B,1,The Wall Street Journal,Agree
317,36354308,A,1,Fox News,Agree
315,36354308,A,-1,The New York Times,Agree
316,36354308,A,-1,The New York Times,Disagree
31,36354308,B,1,CNN,Neutral
32,36354308,B,1,CNN,Neutral
34,36354308,B,1,The New York Times,Agree
114,36461899,A,1,CNN,Agree
111,36461899,A,-1,The New York Times,Neutral
112,36461899,A,-1,The New York Times,Neutral
110,36461899,A,-1,The Wall Street Journal,Neutral
329,36461899,B,1,Fox News,Agree
325,36461899,B,-1,The New York Times,Agree
327,36461899,B,-1,The New York Times,Agree
66,36517633,A,-1,The Wall Street Journal,Agree
69,36517633,A,1,The Wall Street Journal,Agree
138,36517633,B,1,CNN,Agree
135,36517633,B,-1,The New York Times,Agree
137,36517633,B,-1,The New York Times,Agree
139,36517633,B,-1,The New York Times,Agree
151,36603404,A,1,CNN,Agree
150,36603404,A,1,Fox News,Agree
274,36603404,B,1,CNN,Disagree
272,36603404,B,1,The New York Times,Neutral
228,36737825,A,1,CNN,Disagree
225,36737825,A,-1,The New York Times,Neutral
226,36737825,A,-1,The New York Times,Agree
229,36737825,A,1,The New York Times,Neutral
227,36737825,A,-1,The Wall Street Journal,Neutral
289,36737825,B,1,CNN,Agree
286,36737825,B,1,the Associated Press,Neutral
31,36747744,A,1,CNN,Agree
33,36747744,A,1,CNN,Neutral
32,36747744,A,1,The New York Times,Agree
306,36747744,B,1,CNN,Neutral
307,36747744,B,1,CNN,Neutral
308,36747744,B,-1,The New York Times,Disagree
357,36761089,A,1,Fox News,Agree
358,36761089,A,-1,The New York Times,Agree
330,36761089,B,-1,CNN,Agree
333,36761089,B,-1,CNN,Agree
331,36761089,B,-1,The New York Times,Agree
332,36761089,B,1,The Wall Street Journal,Agree
185,36807032,A,1,CNN,Agree
186,36807032,A,1,CNN,Agree
187,36807032,A,-1,The New York Times,Agree
294,36807032,B,1,CNN,Agree
291,36807032,B,1,the Associated Press,Agree
3,36858304,A,1,CNN,Agree
0,36858304,A,-1,The New York Times,Neutral
4,36858304,A,-1,The New York Times,Agree
93,36858304,B,1,CNN,Neutral
94,36858304,B,1,Fox News,Agree
90,36858304,B,-1,The New York Times,Neutral
91,36858304,B,-1,The New York Times,Agree
207,36871506,A,1,CNN,Agree
205,36871506,A,-1,The New York Times,Neutral
209,36871506,A,-1,The New York Times,Agree
143,36871506,B,1,CNN,Agree
140,36871506,B,-1,The New York Times,Agree
142,36871506,B,-1,The New York Times,Agree
144,36871506,B,-1,The New York Times,Agree
311,36882579,A,1,CNN,Agree
313,36882579,A,1,CNN,Agree
310,36882579,A,-1,The New York Times,Agree
166,36882579,B,-1,The New York Times,Agree
165,36882579,B,-1,The Wall Street Journal,Agree
167,36882579,B,-1,The Wall Street Journal,Neutral
168,36882579,B,1,the Associated Press,Agree
48,36917158,B,1,Fox News,Disagree
45,36917158,B,-1,The New York Times,Neutral
49,36917158,B,-1,The Wall Street Journal,Neutral
18,37078496,A,1,CNN,Neutral
19,37078496,A,1,Fox News,Agree
15,37078496,A,-1,The New York Times,Agree
261,37078496,B,1,CNN,Agree
260,37078496,B,-1,The New York Times,Agree
262,37078496,B,1,the Associated Press,Agree
56,37198978,A,1,Fox News,Disagree
59,37198978,A,-1,The New York Times,Disagree
55,37198978,A,-1,The Wall Street Journal,Disagree
252,37198978,B,1,CNN,Agree
253,37198978,B,1,Fox News,Agree
254,37198978,B,1,The New York Times,Disagree
251,37198978,B,-1,The Wall Street Journal,Disagree
58,37207829,B,1,Fox News,Neutral
55,37207829,B,-1,The New York Times,Agree
59,37207829,B,-1,The Wall Street Journal,Disagree
