First Draft: Ted Cruz to Begin 6-Day Bus Tour to Help Him Secure Lead in Iowa,1.0
First Draft: Ted Cruz ‘Super PAC’ Invests Additional $2.5 Million in Advertising,1.0
"First Draft: Ted Cruz, on New Hampshire Bus Tour, Makes a Brief Effort in Spanish",2.0
First Draft: Ted Cruz’s Iowa Bus Tour: Ethanol Subsidies and Shark Jumping,3.0
First Draft: Ted Cruz’s Iowa Bus Tour: The Tattooed Hunk Had a Familiar Face,2.0
First Draft: ‘Super PAC’ Backing Hillary Clinton Says It Will Raise More Than It Did in ’12,2.0
First on CNN: Conservative super PAC to air ad hitting Clinton on paid speech transcripts,2.0
First on CNN: Texas Gov. Greg Abbott to endorse Cruz for president,2.0
First on XXX: Conservative super PAC to air ad hitting Clinton on paid speech transcripts,1.0
First on XXX: Texas Gov. Greg Abbott to endorse Cruz for president,2.0
Graham: Cruz worse than Obama,3.0
Hillary Clinton Sharpens Focus After Democratic Debate Tussles,1.0
Hillary Clinton hopes for strong Latino turnout in Nevada,2.0
"Increasingly, Iowans Say Their Caucuses Are Ted Cruz’s to Lose",2.0
Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,4.0
Jeb Bush on Donald Trump: 'The guy needs therapy',2.0
Jerry Falwell backs Donald Trump: Satire is dead (Opinion),3.0
Message of Bernie Sanders’s New Ad: The Housing Crisis Isn’t Over,1.0
New Yorkers blast Cruz's comments on 'New York values',2.0
Obama hopes to pave way for Clinton with SOTU,1.0
Op-Ed Columnist: Hillary Clinton Stumbles,1.0
Op-Ed Columnist: Is There Any Stopping Donald Trump?,1.0
Political fallout for Clinton after North Korea's nuke test,3.0
Pro-Clinton Super PAC Announces Large Fundraising Haul,2.0
"Really, Donald Trump? A fight with the Pope?",1.0
SHARING TOO MUCH? Video raises concern over Clinton using BlackBerry,2.0
Sanders Plans Volley of Ads in Iowa in Final Push Toward Caucuses,1.0
Sanders a prolific Dem fundraiser,2.0
Sanders campaign touts another endorsement that didn't happen,1.0
"Sanders goes negative with Goldman Sachs, Iraq jabs",2.0
Sanders raised $20 million in January,0.0
Sanders surpasses 2015 fundraising goal with sizable haul,3.0
Sanders to release letter from his doctor before Iowa caucuses,2.0
"Sanders tours Roosevelt site, says Bation can learn from FDR",4.0
"Sanders, O'Malley criticize immigration raids at Iowa forum",1.0
Sources say Feds probing Clinton payola claims,2.0
"TOO MUCH SHARING AT STATE? New video suggests Clinton, aides used BlackBerries for sensitive info",2.0
Takeaways from Ted Cruz's Iowa road trip,2.0
"Taking Note: Trump vs. Pope, Round 2",3.0
Ted Cruz Starts to Crack G.O.P. Establishment’s Wall of Opposition,4.0
Ted Cruz ad features business suits crossing border,1.0
Ted Cruz tries to seize Rand Paul's libertarian mantle,1.0
Ted Cruz worry: Big South Carolina loss equals bad Super Tuesday,1.0
Ted Cruz's conventional campaign to win Iowa,1.0
Ted Cruz: 2016 Is a ‘Referendum’ on the Supreme Court,3.0
"Ted Cruz: To Help Stop Drug Abuse, Build the Mexico Border Wall",2.0
The 2016 Race: How to Understand Donald Trump’s Defeat in Iowa,2.0
"The Ad Campaign: In New Ad, Hillary Clinton Sums Up Her Case for Iowa and New Hampshire Democrats",3.0
The Latest: Bible prominent in Final Cruz Pitches to Voters,4.0
The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,4.0
The Latest: Sanders says Trump campaign based on division,4.0
Trump criticized for campaign ad showing ‘southern border’ using footage of Morocco,1.0
Trump deflects specifics when it comes to abortion position,3.0
Trump not backing down from Fox debate boycott,4.0
Trump unscathed in GOP ad wars,3.0
Trump's closing pitch to Iowa caucus-goers a family affair,2.0
Video suggests Clinton shared info that 'would never be on an unclassified system' normally,3.0
Who's funding this pro-Ted Cruz super PAC?,2.0
Why Cruz is in trouble in Texas,2.0
XXX/WMUR Poll: Cruz climbs in NH,2.0
"Your Friday Evening Briefing: Hillary Clinton, Kanye West, Syria",2.0
