,title,url,org,top_topic,flesch,gunning_fog
4168,"Capital Journal Daybreak: Clinton’s Lead Over Sanders Widens, More",http://blogs.wsj.com/washwire/2016/01/18/capital-journal-democratic-rivals-spar-ahead-of-iowa-caucus-u-s-delayed-iran-sanctions-to-avoid-derailing-prisoner-talks-poll-clintons-lead-over-sanders-widens/,wsj,Foreign Policy/National Security,9.9,8.8
4169,"Centrist think tank: Sanders would help rich, not poor",http://www.politico.com/story/2016/01/centrist-think-tank-sanders-would-help-rich-not-poor-218456,politico,Campaign Finance,7.6,10.0
4174,CLASHING OVER HEALTH CARE Clinton accuses Sanders at debate   of plan to &lsquo;tear&rsquo; up ObamaCare,http://www.foxnews.com/politics/2016/01/17/clash-over-health-care-clinton-accuses-sanders-plan-to-tear-up-obamacare.html,fox,Health Care,10.3,10.4
4175,Clash over health care: Clinton accuses Sanders of plan to ‘tear’ up ObamaCare,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/QhN7yYA0MVQ/democratic-candidates-face-off-for-final-debate-before-iowa-contest.html,fox,Health Care,10.3,10.4
4179,Clinton and Sanders agree to 4 more debates,http://www.politico.com/story/2016/01/clinton-and-sanders-four-more-debates-218448,politico,Campaign Finance,7.9,10.4
4188,"Clinton and Sanders vigorously spar in New Hampshire debate, a sign of things to come",http://www.latimes.com/la-na-0205-new-hampshire-primary-debate-20160205-story.html,latimes,Foreign Policy/National Security,10.7,9.6
4189,Clinton attacks Sanders' gun record ahead of Charleston debate,http://www.politico.com/story/2016/01/hillary-clinton-bernie-sanders-guns-217898,politico,Campaign Finance,7.6,10.0
4192,Clinton campaign casts Sanders as a foreign policy lightweight,http://www.cnn.com/2016/01/21/politics/hillary-clinton-bernie-sanders-foreign-policy/index.html,cnn,Foreign Policy/National Security,9.5,9.6
4193,Clinton Campaign Challenges Sanders to Release Health Plan Details,http://blogs.wsj.com/washwire/2016/01/13/clinton-campaign-challenges-sanders-to-release-health-plan-details/,wsj,Health Care,8.7,8.8
4198,Clinton campaign to Sanders: Endorse our Wall Street reform plan,http://www.cnn.com/2016/01/04/politics/hillary-clinton-wall-street-bernie-sanders/index.html,cnn,Financial Regulation,10.7,12.0
4199,Clinton Campaign Wields Former National Security Officials to Weaken Sanders,http://blogs.wsj.com/washwire/2016/01/19/clinton-campaign-wields-former-national-security-officials-to-weaken-sanders/,wsj,Foreign Policy/National Security,8.8,7.6
4201,Clinton camp to Sanders: Stop the Iowa conspiracy theories,http://www.politico.com/story/2016/02/hillary-clinton-bernie-sanders-iowa-218803,politico,Foreign Policy/National Security,8.7,11.2
4202,Clinton Camp Tries to Pre-Empt Sanders’s Wall Street Speech,http://blogs.wsj.com/washwire/2016/01/04/clinton-camp-tries-to-pre-empt-sanderss-wall-street-speech/,wsj,Financial Regulation,12.3,11.2
4203,Clinton changes tone on Sanders,http://www.politico.com/story/2016/01/hillary-clinton-bernie-sanders-attacks-backfire-218091,politico,Health Care,7.9,10.4
4204,Clinton confronts rival Sanders as Iowa polls tighten,http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2016-01-11-US--DEM%202016-Clinton/id-d512d2076b65447f8ecc8b935c8e1b7d,ap,Health Care,12.3,11.2
4207,Clinton defends progressive record against Sanders critique,http://hosted2.ap.org/APDEFAULT/386c25518f464186bf7a2ac026580ce7/Article_2016-02-03-US--DEM%202016-Clinton/id-041f7eaffee7406790de7556f2871c07,ap,Campaign Finance,9.1,9.2
4210,"Clinton focuses on general, while Sanders sticks to script",http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2016-02-29-US--DEM%202016/id-372cb532a8264c3296e5c4563221abd8,ap,Campaign Finance,13.0,12.0
4211,Clinton goes on attack against Sanders in combative presidential debate,http://feeds.reuters.com/~r/reuters/MostRead/~3/evSa4Xo6VpY/story01.htm,reuters,Campaign Finance,10.7,9.6
4212,Clinton hits Sanders: 'A president has to deliver in reality',http://www.politico.com/story/2016/01/hillary-clinton-bernie-sanders-presidency-218066,politico,Health Care,9.1,11.6
4214,Clinton knocks Sanders' 'details to be forthcoming' health care plan,http://www.cnn.com/2016/01/15/politics/hillary-clinton-bernie-sanders-health-care-plan/index.html,cnn,Health Care,11.1,12.4
4215,Clinton launches closing ad against Sanders,http://www.cnn.com/2016/01/27/politics/hillary-clinton-ad-bernie-sanders/index.html,cnn,Foreign Policy/National Security,11.1,12.4
4224,"Clinton, Sanders blaze different trails on Supreme Court nomination",http://www.politico.com/story/2016/02/hillary-clinton-bernie-sanders-supreme-court-nomination-219351,politico,Abortion,9.9,11.2
4230,"Clinton, Sanders clash on ObamaCare in opening shots of Dem debate",http://feeds.foxnews.com/~r/foxnews/most-popular/~3/ymd-iMELcmo/clinton-faces-sanders-at-first-debate-since-nh-defeat.html,fox,Health Care,10.3,9.2
4231,"Clinton, Sanders clash over minorities, money _ and Obama",http://hosted2.ap.org/APDEFAULT/3d281c11a96b4ad082fe88aa0db04305/Article_2016-02-11-US--DEM%202016-Debate/id-4347c45583fb44e0a2aaeae8ab0edb31,ap,Foreign Policy/National Security,12.7,11.6
4232,"Clinton, Sanders clash over ties to Wall Street at Democratic debate",http://www.foxnews.com/politics/2016/02/11/dem-debate-clinton-sanders-clash-over-wall-street-ties.html,fox,Campaign Finance,8.4,8.4
4233,"Clinton, Sanders court diverse Nevada voters as race tightens",http://www.mcclatchydc.com/news/politics-government/election/article60405551.html,mcclatchy,Immigration,10.7,9.6
4234,Clinton-Sanders debate turns personal as primary looms,http://www.mcclatchydc.com/news/politics-government/election/article58578643.html,mcclatchy,Financial Regulation,10.3,10.4
4244,"Clinton, Sanders Play Up Wall Street Crackdown Plans",http://blogs.wsj.com/washwire/2016/01/23/clinton-sanders-play-up-wall-street-crackdown-plans/,wsj,Campaign Finance,6.8,8.0
4250,"Clinton, Sanders take new combative tone into first one-on-one debate",http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/hrpOkjUxG78/story01.htm,reuters,Financial Regulation,12.3,11.2
4258,Clinton says Sanders is flunking on foreign policy,http://www.politico.com/story/2016/02/democratic-debate-2016-foreign-policy-218799,politico,Foreign Policy/National Security,7.2,9.6
4260,"Clinton sharpens tone at last debate before Iowa, Sanders claims ‘momentum’",http://feeds.foxnews.com/~r/foxnews/most-popular/~3/d7K94BYnlm4/clinton-sharpens-tone-at-last-debate-before-iowa-sanders-claims-momentum.html,fox,Health Care,10.7,9.6
4261,Clinton’s health-care assault on Sanders backfires,http://www.politico.com/story/2016/01/hillary-clinton-bernie-sanders-health-care-217789,politico,Health Care,11.1,11.2
4265,"Clintons Press Panic Button With Sanders At Their Nevada ""Firewall""",http://www.huffingtonpost.com/william-bradley/clintons-press-panic-butt_b_9230050.html,huffpo,Campaign Finance,11.5,10.4
4272,Clinton to Iowans: Time to 'get real' about Sanders,http://www.politico.com/story/2016/01/hillary-clinton-bernie-sanders-217626,politico,Health Care,13.4,14.8
4278,Commander-In-Chief Bernie? Hillary? Donald? Ted?,http://www.huffingtonpost.com/richard-brodsky/commander-in-chief-bernie_b_9240420.html,huffpo,Foreign Policy/National Security,6.4,6.4
4280,Conservative economist: What I like about Bernie Sanders,http://feeds.foxnews.com/~r/foxnews/opinion/~3/GMz3S7L7y9g/conservative-economist-what-like-about-bernie-sanders.html,fox,Health Care,11.5,9.2
4284,"Cruz attacks Sanders, Rubio in New Hampshire",http://www.cnn.com/2016/01/20/politics/ted-cruz-bernie-sanders-marco-rubio-new-hampshire/index.html,cnn,Foreign Policy/National Security,10.7,9.6
4295,"Debate Takeaways: Clinton, Sanders appeal to SC, Nevada",http://hosted2.ap.org/APDEFAULT/3d281c11a96b4ad082fe88aa0db04305/Article_2016-02-11-US--DEM%202016-Debate-Takeaways/id-d48bdc1e011644158190c3e22f033ddc,ap,Health Care,13.0,12.0
4301,Democratic Debate: Bernie Plays It Straight While Hillary Plays Politics,http://www.huffingtonpost.com/cody-cain/democratic-debate-bernie-_b_9220502.html,huffpo,Immigration,9.9,8.8
4302,"Democratic debate: It's Hillary Clinton who can win and govern, not Bernie Sanders",http://feeds.foxnews.com/~r/foxnews/most-popular/~3/EgUAPc4QAIo/democratic-debate-its-hillary-clinton-who-can-win-and-govern-not-bernie-sanders.html,fox,Foreign Policy/National Security,9.5,9.6
4306,Democratic hopeful Sanders attacks Clinton's 'progressive' credentials,http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/b0qCf_oiWxg/story01.htm,reuters,Campaign Finance,10.7,9.6
4311,Democrats hold key debate amid feuding over Sanders' medical records,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/z1CxBpCWk14/democrats-hold-key-debate-amid-feuding-over-sanders-medical-records.html,fox,Campaign Finance,12.3,11.2
4312,"Democrats hold key debate amid feuding over Sanders' medical records - Clinton says FBI has not contacted her about emails - At Tea Party rally in South Carolina, top GOP candidates make pitch for support - CAMPAIGN 2016 LIVE BLOG",http://www.foxnews.com/politics/2016/01/17/democrats-hold-key-debate-amid-feuding-over-sanders-medical-records.html,fox,Campaign Finance,12.3,11.2
4315,"DIFFERENCES UNDEFINED? Clinton, Sanders unite in police criticism, campaign rules amid testy debate",http://www.foxnews.com/politics/2016/02/11/differences-undefined-clinton-sanders-unite-in-police-criticism-amid-testy-debate.html,fox,Campaign Finance,8.7,8.8
4316,"Diplomats, national security officials blast Sanders on Iran normalization, ISIL",http://www.politico.com/story/2016/01/bernie-sanders-foreign-policy-217969,politico,Foreign Policy/National Security,10.3,11.6
4326,Donald Trump Facing Off Against Bernie Sanders Is The Joker vs. Robin Hood,http://www.huffingtonpost.com/2016/02/20/donald-trump-bernie-sanders-popularity-reasons_n_9283364.html,huffpo,Immigration,8.7,8.8
4329,"Donald Trump Reportedly Says He's With Hillary Clinton, Bernie Sanders On Drug Pricing",http://www.huffingtonpost.com/2016/01/26/trump-drug-prices-hillary-bernie_n_9080186.html,huffpo,Health Care,10.3,9.2
4336,"Essential Politics: New Hampshire voters get chance to question Clinton, Sanders",http://www.latimes.com/la-pol-essential-politics-20160203-story.html,latimes,Campaign Finance,10.7,9.6
4348,First Draft: Bernie Sanders Accuses Hillary Clinton of Copying His Message,http://www.nytimes.com/politics/first-draft/2016/02/22/bernie-sanders-accuses-hillary-clinton-of-copying-his-message/,nyt,Campaign Finance,7.6,7.6
4351,First Draft: Bernie Sanders a Target of Ads by Republican Donor,http://www.nytimes.com/politics/first-draft/2016/01/25/bernie-sanders-a-target-of-ads-by-republican-donor/,nyt,Campaign Finance,8.0,8.0
4352,First Draft: Bernie Sanders Gets Some Outside Help He Didn’t Ask For,http://www.nytimes.com/politics/first-draft/2016/01/20/bernie-sanders-gets-some-outside-help-he-didnt-ask-for/,nyt,Campaign Finance,8.8,7.6
4355,First Draft: Bernie Sanders Promises to Keep Pressing the Campaign,http://www.nytimes.com/politics/first-draft/2016/02/29/bernie-sanders-promises-to-keep-pressing-the-campaign/,nyt,Campaign Finance,8.7,10.0
4356,First Draft: Bernie Sanders Raised More Money in January Than Hillary Clinton,http://www.nytimes.com/politics/first-draft/2016/02/04/bernie-sanders-raised-more-money-in-january-than-hillary-clinton/,nyt,Campaign Finance,8.4,7.2
4357,"First Draft: Bernie Sanders Raised Over $42 Million in February, Campaign Says",http://www.nytimes.com/politics/first-draft/2016/03/01/bernie-sanders-raised-over-42-million-in-february-campaign-says/,nyt,Campaign Finance,9.5,9.6
4358,First Draft: Bernie Sanders Releases Tough Ad on Wall Street Speaking Fees,http://www.nytimes.com/politics/first-draft/2016/01/28/bernie-sanders-releases-tough-ad-on-wall-street-speaking-fees/,nyt,Foreign Policy/National Security,6.8,8.0
4362,First Draft: Bernie Sanders Tells Minnesotans They Can ‘Make History’,http://www.nytimes.com/politics/first-draft/2016/02/29/bernie-sanders-tells-minnesotans-they-can-make-history/,nyt,Campaign Finance,8.0,8.0
4363,First Draft: Bernie Sanders Tells Volunteers in Reno to Expect Victory in Nevada,http://www.nytimes.com/politics/first-draft/2016/02/13/bernie-sanders-tells-volunteers-in-reno-to-expect-victory-in-nevada/,nyt,Immigration,10.7,10.8
4368,"First Draft: Chelsea Clinton, Again Her Mother’s Surrogate, Takes Up the Fight Against Bernie Sanders",http://www.nytimes.com/politics/first-draft/2016/01/12/chelsea-clinton-again-her-mothers-surrogate-takes-up-the-fight-against-bernie-sanders/,nyt,Health Care,8.7,8.8
4370,First Draft: Clinton and Sanders Reach Out to Latino Voters in Las Vegas,http://www.nytimes.com/politics/first-draft/2016/02/19/clinton-and-sanders-reach-out-to-latino-voters-in-las-vegas/,nyt,Immigration,11.9,12.0
4371,First Draft: Clinton Campaign Rebuffs Sanders on Latino Vote in Nevada,http://www.nytimes.com/politics/first-draft/2016/02/21/clinton-campaign-enlists-polling-firm-to-try-and-rebut-sanders-claim-on-winning-latino-vote-in-nevada/,nyt,Immigration,9.5,9.6
4372,"First Draft: Clinton, Sanders and O’Malley Save Sharpest Jabs for G.O.P. in Vegas",http://www.nytimes.com/politics/first-draft/2016/01/07/clinton-sanders-and-omalley-save-sharpest-jabs-for-g-o-p-in-vegas/,nyt,Immigration,8.7,8.8
4375,First Draft: F.E.C. Tells Sanders Campaign That Some Donors May Have Given Too Much,http://www.nytimes.com/politics/first-draft/2016/02/12/f-e-c-tells-sanders-campaign-that-some-donors-may-have-given-too-much/,nyt,Campaign Finance,9.1,8.0
4377,First Draft: Hillary Clinton Criticizes Bernie Sanders and Ted Cruz on Healthcare,http://www.nytimes.com/politics/first-draft/2016/01/30/hillary-clinton-criticizes-bernie-sanders-and-ted-cruz-on-healthcare/,nyt,Health Care,6.4,7.6
4378,First Draft: Hillary Clinton Dismisses Bernie Sanders’s Criticism of Groups Backing Her,http://www.nytimes.com/politics/first-draft/2016/01/20/hillary-clinton-dismisses-bernie-sanderss-criticism-of-groups-backing-her/,nyt,Abortion,9.9,10.0
4379,First Draft: Hillary Clinton’s Campaign Seeks to Portray Bernie Sanders as a Deceptive Candidate,http://www.nytimes.com/politics/first-draft/2016/02/07/hillary-clintons-campaign-seeks-to-portray-bernie-sanders-as-a-deceptive-candidate/,nyt,Campaign Finance,8.4,8.4
4388,"For Bernie Sanders and Marco Rubio, the Iowa Caucus Is Do or Die",http://www.huffingtonpost.com/lincoln-mitchell/for-bernie-sanders-and-ma_b_9128094.html,huffpo,Foreign Policy/National Security,14.2,14.4
4407,Here's The Clinton-Sanders Health Care Fight In One Exchange,http://www.huffingtonpost.com/2016/02/04/clinton-sanders-health-care_n_9164038.html,huffpo,Health Care,10.7,9.6
4414,Hillary Clinton and Bernie Sanders Ads Diverge on Road to Caucuses,http://www.nytimes.com/2016/01/22/us/politics/hillary-clinton-and-bernie-sanders-ads-diverge-on-road-to-caucuses.html,nyt,Foreign Policy/National Security,8.0,8.0
4421,"Hillary Clinton, Bernie Sanders, Wall Street, and America 2.0x",http://www.huffingtonpost.com/charles-ferguson/hillary-clinton-bernie-sa_b_9172128.html,huffpo,Financial Regulation,9.9,8.8
4422,Hillary Clinton camp attacks Bernie Sanders' consistency,http://www.cnn.com/2016/01/22/politics/hillary-clinton-bernie-sanders-flip-flops/index.html,cnn,Foreign Policy/National Security,12.3,12.4
4429,Hillary Clinton Takes Issue With Sanders Remarks on ‘Establishment’ Liberal Groups,http://blogs.wsj.com/washwire/2016/01/20/hillary-clinton-takes-issue-with-sanders-remarks-on-establishment-liberal-groups/,wsj,Abortion,8.0,8.0
4439,How a Sanders Medicare-For-All Plan Can Be Affordable and Appeal to Republicans,http://www.huffingtonpost.com/laurence-j-kotlikoff/how-a-sanders-medicare-for_b_9258786.html,huffpo,Health Care,9.9,8.8
4441,How Bernie built a fundraising juggernaut,http://www.politico.com/story/2016/02/bernie-sanders-fundraising-219112,politico,Campaign Finance,10.3,10.4
4452,HUFFPOST HILL - Bernie Sanders Visits White House For Last Time,http://www.huffingtonpost.com/2016/01/27/huffpost-hill_n_9093032.html,huffpo,Abortion,10.3,9.2
4455,"If Superdelegates Steal This Election From Bernie Sanders, I'll Write-In Bernie's Name",http://www.huffingtonpost.com/h-a-goodman/if-superdelegates-steal-election-bernie-sanders_b_9234546.html,huffpo,Foreign Policy/National Security,11.1,10.0
4456,I Get Sanders’ Appeal. But He’s Not a Credible President.,http://www.politico.com/magazine/story/2016/01/bernie-sanders-hillary-clinton-2016-213560,politico,Health Care,10.7,9.6
4463,"In contentious debate, Clinton and Sanders both claim 'progressive' mantle",http://feeds.reuters.com/~r/reuters/MostRead/~3/rg2wBzFqM5s/story01.htm,reuters,Campaign Finance,11.1,10.0
4464,"In Democratic Debate, Clinton the Doer Battles Sanders the Dreamer",http://blogs.wsj.com/washwire/2016/02/05/in-democratic-debate-clinton-the-doer-battles-sanders-the-dreamer/,wsj,Foreign Policy/National Security,9.5,9.6
4465,"In Democratic Debate, Hillary Clinton Paints Bernie Sanders’s Plans as Unrealistic",http://www.nytimes.com/2016/02/12/us/politics/democratic-debate.html,nyt,Health Care,8.7,8.8
4469,"In New Ad, Bernie Sanders Hits Clinton on Wall Street Campaign Donations",http://blogs.wsj.com/washwire/2016/01/14/in-new-ad-bernie-sanders-hits-clinton-wall-street-campaign-donations/,wsj,Financial Regulation,7.6,7.6
4471,"IN THE HOT SEAT: Sanders campaign accuses Clinton of flip-flopping, calls out her Wall Street connections",http://www.foxnews.com/politics/2016/02/07/sanders-pushes-clinton-to-defend-wall-street-contributions-speaking-fees.html,fox,Campaign Finance,10.7,10.8
4482,I Support Bernie Sanders Because He Supports Me,http://www.huffingtonpost.com/mike-shammas/how-dare-bernie-run_b_9178210.html,huffpo,Campaign Finance,9.5,7.2
4484,John Kasich Predicts What Will Happen If Bernie Sanders Is The Democratic Nominee,http://www.huffingtonpost.com/2016/01/14/john-kasich-bernie-sanders_n_8985634.html,huffpo,Foreign Policy/National Security,8.4,7.2
4489,Latinos seek answers from Sanders and Clinton at Democratic forum in Las Vegas,http://www.latimes.com/la-na-0219-democrats-town-hall-nevada-20160219-story.html,latimes,Immigration,10.3,9.2
4490,Left-Leaning Economists Question Cost of Bernie Sanders’s Plans,http://www.nytimes.com/2016/02/16/us/politics/left-leaning-economists-question-cost-of-bernie-sanderss-plans.html,nyt,Health Care,10.3,9.2
