worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_3_contributors
23149109,keunc,1,0,0,0,instagc,USA,NC,Raleigh,24.206.38.18,,,0,,1.0,0,1.0
24170547,6023526,1,0,0,0,clixsense,USA,NJ,Mount Laurel,71.168.240.176,,,0,,1.0,0,1.0
25111984,6241755,1,0,0,0,prodege,USA,CO,Denver,71.212.239.146,,,0,,1.0,0,1.0
25501853,alliejp,1,0,0,0,instagc,USA,KY,Winchester,104.2.39.114,,,0,,1.0,60,1.0
25955589,rathnav,1,0,0,0,instagc,USA,MI,Kalamazoo,71.90.130.236,,,0,,1.0,60,1.0
26155685,6354769,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
27770607,dancee15,1,0,0,0,instagc,USA,TX,El Paso,173.175.172.255,,,0,,1.0,0,1.0
27914150,JannieBee,1,0,0,0,instagc,USA,KS,Emporia,67.61.154.33,,,0,,1.0,0,1.0
28081782,238135335561525BDD6A67EA287D2489,1,0,0,0,neodev,USA,MS,Madison,98.95.178.69,,,0,,1.0,0,1.0
29571331,rockband961,1,0,0,0,instagc,USA,IL,Dekalb,50.141.77.144,,,0,,1.0,0,1.0
29936162,f3fe349aa61f117e47054bc32415b6e058115943,1,0,0,0,coinworker,USA,NY,New York,198.211.107.72,,,0,,1.0,0,1.0
30461260,39042,1,0,0,0,elite,USA,NY,Rochester,23.92.216.38,,,0,,1.0,0,1.0
30513549,39896,1,0,0,0,elite,USA,CA,San Jose,23.27.45.190,,,0,,1.0,60,1.0
30695793,74BD14EEC9986DA193CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
31063905,201898,1,0,0,0,gifthunterclub,USA,NY,Potsdam,76.78.203.179,,,0,,1.0,60,1.0
31471893,53499,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
31804599,Tahacaza,0,0,0,0,instagc,,,,,,,0,,1.0,0,
31906954,1202481,1,0,0,0,tremorgames,USA,NY,Middletown,74.68.51.54,,,0,,1.0,60,1.0
32055577,6028820,1,0,0,0,prizerebel,USA,WI,Milwaukee,65.30.151.156,,,0,,1.0,60,1.0
32424428,E48A72FC0063A63793CA06397A287A80,1,0,0,0,neodev,USA,NY,New York,104.236.70.228,,,0,,1.0,0,1.0
32641084,67118,1,0,0,0,elite,USA,CA,San Jose,50.118.145.201,,,0,,1.0,60,1.0
32672123,15187994,1,0,0,0,prodege,USA,NV,Las Vegas,45.59.21.170,,,0,,1.0,60,1.0
32916723,1363284,1,0,0,0,tremorgames,USA,NY,Utica,70.209.134.223,,,0,,1.0,0,1.0
33245009,20679501,1,0,0,0,cotter,USA,NC,Tabor City,71.77.228.24,,,0,,1.0,0,1.0
33280016,391E11634A1973FE93CA06397A287A80,1,0,0,0,neodev,USA,OH,Columbus,216.177.128.39,,,0,,1.0,60,1.0
33345368,5C9D1025158EE8BE2BFA95FAD8D0CB36,1,0,0,0,neodev,USA,CA,San Jose,50.118.198.253,,,0,,1.0,0,1.0
33427067,pinkpuff20,1,0,0,0,instagc,USA,MA,South Hadley,24.41.68.35,,,0,,1.0,60,1.0
33467170,andreeeeeww,1,0,0,0,instagc,USA,WV,Martinsburg,76.106.109.7,,,0,,1.0,0,1.0
33565158,15401755,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
33591819,699B41DE34106A8A41A29D4352C72707,1,0,0,0,neodev,USA,CT,Hartford,192.171.234.22,,,0,,1.0,0,1.0
33720208,0B73997053824C493BE56A74FD3D6324,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
34098234,81917,1,0,0,0,elite,USA,UT,Providence,107.182.226.170,,,0,,1.0,60,1.0
34178978,808999B90E2CBA57D99EEBCE27EEBEB5,1,0,0,0,neodev,USA,AE,Apo,50.118.172.165,,,0,,1.0,60,1.0
34510906,6D76C20A854A530A6E334AF42C1D2A3F,1,0,0,0,neodev,USA,CA,San Jose,50.118.198.253,,,0,,1.0,0,
34694174,976F2D441468D13EBD4231B0CD821AB6,1,0,0,0,neodev,USA,CA,San Jose,50.117.45.201,,,0,,1.0,60,1.0
34737109,388620,1,0,0,0,gifthunterclub,USA,AL,Birmingham,45.33.155.13,,,0,,1.0,60,1.0
34898132,8938592FF4B79D87BE5B53C0735AAA92,1,0,0,0,neodev,USA,CA,San Jose,23.27.248.31,,,0,,1.0,0,1.0
34938843,DE3B0E8B5F458F2578DA480E7D9ACC4E,1,0,0,0,neodev,USA,GA,Atlanta,172.98.84.195,,,0,,1.0,60,1.0
35242242,2966644,1,0,0,0,fusioncash,USA,KY,Owensboro,76.92.82.111,,,0,,1.0,0,1.0
35408915,waterfreak2009,1,0,0,0,instagc,USA,IN,Indianapolis,99.124.135.222,,,0,,1.0,0,1.0
35942389,BE43063D68DEE2B5E0F410E778370DBC,1,0,0,0,neodev,USA,NY,Plainview,108.14.64.127,,,0,,1.0,60,1.0
35959061,111974,1,0,0,0,elite,USA,CA,San Jose,50.118.198.253,,,0,,1.0,60,1.0
36187807,Asellus,1,0,0,0,instagc,USA,IL,Vernon Hills,50.129.130.190,,,0,,1.0,0,1.0
36263705,cd1ccc6768c0826685da63a8c95ddc06cac6a6c0,1,0,0,0,coinworker,USA,WA,Renton,206.188.62.19,,,0,,1.0,0,1.0
36296882,18342421,1,0,0,0,prodege,USA,WI,Schofield,50.123.213.56,,,0,,1.0,60,1.0
36304114,D91BF03E2C72649AC72447F05A7256A4,1,0,0,0,neodev,USA,NC,Charlotte,172.73.78.75,,,0,,1.0,60,1.0
36304905,B04DD4E026ADB949274850ECB9537659,1,0,0,0,neodev,USA,IL,Chicago,69.175.85.2,,,0,,1.0,60,1.0
36313064,115900,1,0,0,0,elite,USA,NY,Rochester,192.111.148.26,,,0,,1.0,0,1.0
36354308,116323,1,0,0,0,elite,USA,CA,San Jose,23.27.248.31,,,0,,1.0,0,1.0
36461899,117384,1,0,0,0,elite,USA,CA,San Jose,50.118.198.253,,,0,,1.0,0,1.0
36516365,4E3F69FB847DC5B9B54F3332206396E9,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
36517633,117914,1,0,0,0,elite,USA,NY,New York,104.131.89.84,,,0,,1.0,0,1.0
36563074,118412,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
36603404,EBC624184F2DF2752EFD2A28AE2C3FB7,1,0,0,0,neodev,USA,GA,Atlanta,199.195.199.229,,,0,,1.0,0,1.0
36620760,119061,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
36624282,119122,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
36737825,120430,1,0,0,0,elite,USA,TX,Dallas,104.36.87.165,,,0,,1.0,0,1.0
36747744,120532,1,0,0,0,elite,USA,TX,Dallas,104.36.87.166,,,0,,1.0,0,1.0
36761089,120668,1,0,0,0,elite,USA,TX,Dallas,104.36.87.166,,,0,,1.0,60,1.0
36807032,121157,1,0,0,0,elite,USA,TX,Dallas,104.36.87.166,,,0,,1.0,60,1.0
36858304,A961BE6C46AAA5AB13B45070835AF903,1,0,0,0,neodev,USA,CA,Saratoga,45.33.140.212,,,0,,1.0,60,1.0
36871506,121722,1,0,0,0,elite,USA,AE,Apo,50.118.172.52,,,0,,1.0,60,1.0
36882579,121861,1,0,0,0,elite,USA,CA,San Jose,23.27.248.66,,,0,,1.0,0,1.0
36917158,6F0636ACAD92ED05FD55B23693B99944,1,0,0,0,neodev,USA,IL,Chicago,69.175.85.2,,,0,,1.0,60,1.0
37078496,124074,1,0,0,0,elite,USA,CA,San Jose,50.118.198.253,,,0,,1.0,0,1.0
37198978,125845,1,0,0,0,elite,USA,DE,"",108.59.10.135,,,0,,1.0,0,1.0
37207829,125959,1,0,0,0,elite,USA,DE,"",108.59.10.135,,,0,,1.0,60,1.0
